Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,"Healthcare setting, outpatient or emergency room",33,659,24,13,0,44,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,"Healthcare setting, dead on arrival",0,17,0,0,0,0,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Decedent's home,83,3455,67,24,0,126,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Hospice facility,13,342,22,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Nursing home/long term care facility,40,1376,56,14,0,82,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Other,12,646,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Illinois,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Total - All Places of Death,660,8273,715,407,0,968,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, inpatient",510,2412,564,352,0,722,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, outpatient or emergency room",25,574,19,11,0,33,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,"Healthcare setting, dead on arrival",0,26,0,0,0,0,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Decedent's home,67,3015,64,23,0,108,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Hospice facility,13,327,19,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Nursing home/long term care facility,37,1286,44,12,0,69,
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Other,,633,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2021,05/31/2021,By Month,2021,5,Illinois,Place of death unknown,0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Total - All Places of Death,30,685,55,21,0,64,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,"Healthcare setting, inpatient",24,204,38,17,0,45,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,"Healthcare setting, outpatient or emergency room",0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Decedent's home,,275,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Hospice facility,,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Nursing home/long term care facility,0,97,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Other,0,36,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2021,06/05/2021,By Month,2021,6,Illinois,Place of death unknown,0,0,0,0,0,0,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Total - All Places of Death,0,6247,450,0,41,491,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,"Healthcare setting, inpatient",0,1893,271,0,34,305,
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,"Healthcare setting, outpatient or emergency room",0,277,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,"Healthcare setting, dead on arrival",0,11,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Decedent's home,0,1877,34,0,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Hospice facility,0,321,32,0,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Nursing home/long term care facility,0,1616,95,0,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Other,0,252,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2020,01/31/2020,By Month,2020,1,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Total - All Places of Death,0,5828,423,0,52,475,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,"Healthcare setting, inpatient",0,1710,271,0,34,305,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,"Healthcare setting, outpatient or emergency room",0,241,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Decedent's home,0,1814,62,0,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Hospice facility,0,285,16,0,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Nursing home/long term care facility,0,1537,61,0,10,71,
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Other,0,239,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2020,02/29/2020,By Month,2020,2,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Total - All Places of Death,125,6262,529,68,60,644,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,"Healthcare setting, inpatient",100,1791,374,60,43,455,
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,"Healthcare setting, outpatient or emergency room",,278,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Decedent's home,10,2034,43,,,54,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Hospice facility,0,289,18,0,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Nursing home/long term care facility,,1615,83,,,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Other,,251,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2020,03/31/2020,By Month,2020,3,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Total - All Places of Death,1142,6745,976,527,11,1601,
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,"Healthcare setting, inpatient",676,1971,648,406,,923,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,"Healthcare setting, outpatient or emergency room",13,214,15,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Decedent's home,32,2127,58,,,84,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Hospice facility,,196,27,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Nursing home/long term care facility,407,1913,221,105,,526,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Other,,321,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2020,04/30/2020,By Month,2020,4,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Total - All Places of Death,959,6633,684,350,,1296,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,"Healthcare setting, inpatient",425,1794,465,257,,633,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,"Healthcare setting, outpatient or emergency room",19,253,20,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Decedent's home,31,2260,48,,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Hospice facility,10,253,16,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Nursing home/long term care facility,468,1730,131,79,0,520,
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Other,,333,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,05/01/2020,05/31/2020,By Month,2020,5,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Total - All Places of Death,471,5929,482,183,0,770,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,"Healthcare setting, inpatient",226,1623,336,146,0,416,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,"Healthcare setting, outpatient or emergency room",,264,11,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Decedent's home,17,2119,37,,0,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Hospice facility,,231,16,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Nursing home/long term care facility,212,1354,76,27,0,261,
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Other,,333,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,06/01/2020,06/30/2020,By Month,2020,6,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Total - All Places of Death,333,5991,445,134,,646,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,"Healthcare setting, inpatient",171,1663,315,107,,381,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,"Healthcare setting, outpatient or emergency room",,244,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Decedent's home,24,2221,43,,0,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Hospice facility,,238,20,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Nursing home/long term care facility,121,1237,54,13,0,162,
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Other,,376,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,07/01/2020,07/31/2020,By Month,2020,7,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Total - All Places of Death,389,5974,494,183,0,700,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,"Healthcare setting, inpatient",231,1740,353,150,0,434,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,"Healthcare setting, outpatient or emergency room",,253,12,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Decedent's home,18,2071,42,,0,57,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Hospice facility,12,247,22,,0,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Nursing home/long term care facility,119,1282,62,19,0,162,
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Other,,371,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,08/01/2020,08/31/2020,By Month,2020,8,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Total - All Places of Death,418,5893,494,197,0,715,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,"Healthcare setting, inpatient",237,1697,345,157,0,425,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,"Healthcare setting, outpatient or emergency room",,253,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Decedent's home,22,2107,51,,0,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Hospice facility,13,194,19,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Nursing home/long term care facility,137,1330,72,23,0,186,
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Other,,307,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,09/01/2020,09/30/2020,By Month,2020,9,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Total - All Places of Death,887,6694,785,438,0,1234,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,"Healthcare setting, inpatient",479,2025,562,345,0,696,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,"Healthcare setting, outpatient or emergency room",14,276,13,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,"Healthcare setting, dead on arrival",0,11,0,0,0,0,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Decedent's home,32,2180,58,11,0,79,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Hospice facility,21,283,38,19,0,40,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Nursing home/long term care facility,330,1575,108,57,0,381,
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Other,11,342,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,10/01/2020,10/31/2020,By Month,2020,10,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Total - All Places of Death,2031,7831,1287,997,,2323,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,"Healthcare setting, inpatient",1091,2577,951,769,,1274,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,"Healthcare setting, outpatient or emergency room",32,301,17,13,0,36,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Decedent's home,127,2372,84,40,0,171,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Hospice facility,30,241,31,21,0,40,
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Nursing home/long term care facility,740,2011,196,150,,787,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Other,10,322,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,11/01/2020,11/30/2020,By Month,2020,11,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Total - All Places of Death,2970,8934,1825,1468,,3330,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,"Healthcare setting, inpatient",1589,3136,1352,1134,,1809,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,"Healthcare setting, outpatient or emergency room",56,328,32,21,0,67,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Decedent's home,192,2567,121,70,,244,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Hospice facility,37,214,34,26,0,45,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Nursing home/long term care facility,1061,2274,264,202,,1123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Other,35,404,22,15,0,42,
06/09/2021,12/01/2020,12/31/2020,By Month,2020,12,Indiana,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Total - All Places of Death,2035,8053,1402,1038,,2401,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,"Healthcare setting, inpatient",1180,2800,1046,800,,1427,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,"Healthcare setting, outpatient or emergency room",44,322,27,14,0,57,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,"Healthcare setting, dead on arrival",,10,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Decedent's home,172,2535,101,63,,211,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Hospice facility,30,222,31,20,0,41,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Nursing home/long term care facility,548,1684,163,116,0,595,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Other,59,480,34,25,0,68,
06/09/2021,01/01/2021,01/31/2021,By Month,2021,1,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Total - All Places of Death,742,5940,612,376,0,978,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,"Healthcare setting, inpatient",428,1840,445,298,0,575,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,"Healthcare setting, outpatient or emergency room",,257,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Decedent's home,75,2197,74,27,0,122,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Hospice facility,14,192,23,10,0,27,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Nursing home/long term care facility,204,1117,54,35,0,223,
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Other,15,330,,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,02/01/2021,02/28/2021,By Month,2021,2,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Total - All Places of Death,317,5827,430,152,,597,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,"Healthcare setting, inpatient",181,1738,297,117,,363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,"Healthcare setting, outpatient or emergency room",,253,12,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Decedent's home,45,2210,49,16,0,78,
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Hospice facility,11,187,16,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Nursing home/long term care facility,64,1087,50,,0,106,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Other,,349,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,03/01/2021,03/31/2021,By Month,2021,3,Indiana,Place of death unknown,0,0,0,0,0,0,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Total - All Places of Death,283,5501,428,160,,552,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,"Healthcare setting, inpatient",177,1671,311,130,0,358,
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,"Healthcare setting, outpatient or emergency room",,231,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Decedent's home,43,1991,48,15,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Hospice facility,,190,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Nursing home/long term care facility,46,1093,47,,0,85,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Other,,320,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/09/2021,04/01/2021,04/30/2021,By Month,2021,4,Indiana,Place of death unknown,0,0,0,0,0,0,
